scope,cabinet,card,contour,group,param,topic
card,23,088,LED,Электрика,Ток_L2,/Теплица/Досветка/Карта/088/Контур/LED/Электрика/Ток_L2
card,23,088,LED,Электрика,Ток_L3,/Теплица/Досветка/Карта/088/Контур/LED/Электрика/Ток_L3
card,23,088,LED,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/088/Контур/LED/Электрика/Коэффициент_мощности
card,23,088,LED,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/088/Контур/LED/Энергия/Прямая_активная_кВтч
card,23,088,HPS,Управление,Включено,/Теплица/Досветка/Карта/088/Контур/HPS/Управление/Включено
card,23,088,HPS,Управление,ШИМ,/Теплица/Досветка/Карта/088/Контур/HPS/Управление/ШИМ
card,23,088,HPS,Мощность,Вт,/Теплица/Досветка/Карта/088/Контур/HPS/Мощность/Вт
card,23,088,HPS,Электрика,Ток_L1,/Теплица/Досветка/Карта/088/Контур/HPS/Электрика/Ток_L1
card,23,088,HPS,Электрика,Ток_L2,/Теплица/Досветка/Карта/088/Контур/HPS/Электрика/Ток_L2
card,23,088,HPS,Электрика,Ток_L3,/Теплица/Досветка/Карта/088/Контур/HPS/Электрика/Ток_L3
card,23,088,HPS,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/088/Контур/HPS/Электрика/Коэффициент_мощности
card,23,088,HPS,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/088/Контур/HPS/Энергия/Прямая_активная_кВтч
card,23,089,LED,Управление,Включено,/Теплица/Досветка/Карта/089/Контур/LED/Управление/Включено
card,23,089,LED,Управление,ШИМ_A,/Теплица/Досветка/Карта/089/Контур/LED/Управление/ШИМ_A
card,23,089,LED,Управление,ШИМ_B,/Теплица/Досветка/Карта/089/Контур/LED/Управление/ШИМ_B
card,23,089,LED,Мощность,Вт,/Теплица/Досветка/Карта/089/Контур/LED/Мощность/Вт
card,23,089,LED,Электрика,Ток_L1,/Теплица/Досветка/Карта/089/Контур/LED/Электрика/Ток_L1
card,23,089,LED,Электрика,Ток_L2,/Теплица/Досветка/Карта/089/Контур/LED/Электрика/Ток_L2
card,23,089,LED,Электрика,Ток_L3,/Теплица/Досветка/Карта/089/Контур/LED/Электрика/Ток_L3
card,23,089,LED,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/089/Контур/LED/Электрика/Коэффициент_мощности
card,23,089,LED,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/089/Контур/LED/Энергия/Прямая_активная_кВтч
card,23,089,HPS,Управление,Включено,/Теплица/Досветка/Карта/089/Контур/HPS/Управление/Включено
card,23,089,HPS,Управление,ШИМ,/Теплица/Досветка/Карта/089/Контур/HPS/Управление/ШИМ
card,23,089,HPS,Мощность,Вт,/Теплица/Досветка/Карта/089/Контур/HPS/Мощность/Вт
card,23,089,HPS,Электрика,Ток_L1,/Теплица/Досветка/Карта/089/Контур/HPS/Электрика/Ток_L1
card,23,089,HPS,Электрика,Ток_L2,/Теплица/Досветка/Карта/089/Контур/HPS/Электрика/Ток_L2
card,23,089,HPS,Электрика,Ток_L3,/Теплица/Досветка/Карта/089/Контур/HPS/Электрика/Ток_L3
card,23,089,HPS,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/089/Контур/HPS/Электрика/Коэффициент_мощности
card,23,089,HPS,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/089/Контур/HPS/Энергия/Прямая_активная_кВтч
card,23,090,LED,Управление,Включено,/Теплица/Досветка/Карта/090/Контур/LED/Управление/Включено
card,23,090,LED,Управление,ШИМ_A,/Теплица/Досветка/Карта/090/Контур/LED/Управление/ШИМ_A
card,23,090,LED,Управление,ШИМ_B,/Теплица/Досветка/Карта/090/Контур/LED/Управление/ШИМ_B
